name,ratings,reviews,companytype,locations,Highly_Rated_For,Critically_Rated_For
Firstsource Solutions,3.5,5.7k,BPO,Bengaluru +74 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
ICICI Lombard General Insurance Company,3.5,5.7k,Insurance,Mumbai +319 other locations,"Promotions / Appraisal, Work Satisfaction, Company Culture",
Tata Capital,4.0,5.7k,NBFC,Mumbai +447 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Shapoorji Pallonji Group,4.1,5.7k,Engineering & Construction,Mumbai +189 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Standard Chartered,3.6,5.6k,Banking,Chennai +67 other locations,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
Apollo Hospitals,4.1,5.6k,Healthcare,Chennai +228 other locations,"Job Security, Skill Development / Learning, Company Culture",
UST,3.7,5.6k,IT Services & Consulting,Bengaluru +51 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits"
Mahindra Finance,3.9,5.6k,NBFC,Mumbai +737 other locations,Work Life Balance,Promotions / Appraisal
Bosch Global Software Technologies,3.7,5.6k,IT Services & Consulting,Bengaluru +47 other locations,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Ashok Leyland,4.0,5.5k,Automobile,Chennai +266 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
Swiggy,3.7,5.5k,Internet,Bengaluru +238 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
Citicorp,3.7,5.5k,Financial Services,Pune +68 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Hero MotoCorp,4.1,5.4k,Automobile,Gurugram +369 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
CGI Group,4.0,5.4k,IT Services & Consulting,Bengaluru +43 other locations,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Cyient,3.6,5.3k,IT Services & Consulting,Hyderabad +49 other locations,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
SBI Cards & Payment Services,3.6,5.2k,Financial Services,Gurugram +443 other locations,"Promotions / Appraisal, Work Satisfaction, Company Culture",
BNY,3.6,5.2k,Financial Services,Pune +26 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
Kalpataru Projects International,4.2,5.2k,Engineering & Construction,Mumbai +325 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
NTT DATA,3.8,5.2k,IT Services & Consulting,Bengaluru +81 other locations,Work Life Balance,Promotions / Appraisal
