name,ratings,reviews,companytype,locations,Highly_Rated_For,Critically_Rated_For
SS&C TECHNOLOGIES,3.2,1.8k,IT Services & Consulting,Mumbai +30 other locations,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Kalyan Jewellers,4.4,1.8k,Jewellery,Thrissur +158 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",
Air India,3.4,1.7k,Aviation,New Delhi +69 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Tata Communications Transformation Services,3.8,1.7k,Telecom,Pune +95 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Reckitt Benckiser,4.0,1.7k,FMCG,Gurugram +136 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
USHA International,4.0,1.7k,Consumer Electronics & Appliances,Gurugram +149 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Security and Intelligence Services (India),4.0,1.7k,Law Enforcement & Security,New Delhi +196 other locations,"Work Life Balance, Job Security, Company Culture",
LivSpace,3.3,1.7k,Architecture & Interior Design,Bengaluru +53 other locations,"Promotions / Appraisal, Job Security, Work Life Balance",
Isgec Heavy Engineering,3.8,1.7k,Engineering & Construction,Noida +92 other locations,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
USV,4.0,1.7k,Pharma,Mumbai +108 other locations,"Company Culture, Work Life Balance, Job Security",
Future Retail,4.4,1.7k,Retail,Mumbai +197 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
Dhani Loans and Services,3.9,1.7k,NBFC,Gurugram +186 other locations,"Job Security, Promotions / Appraisal",
HDFC Securities,3.4,1.7k,Financial Services,Mumbai +186 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Vedantu,3.3,1.7k,EdTech,Bengaluru +72 other locations,"Job Security, Promotions / Appraisal, Work Satisfaction",
BT Business,3.9,1.7k,Telecom,Gurugram +12 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Pine Labs,3.3,1.7k,FinTech,Noida +119 other locations,"Promotions / Appraisal, Work Satisfaction, Job Security",
Adani Green Energy,3.9,1.7k,Power,Ahmedabad +114 other locations,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
Annapurna Finance,3.8,1.7k,NBFC,Bhubaneswar +398 other locations,Salary & Benefits,Promotions / Appraisal
Bata,3.5,1.7k,Fashion & Textile,Gurugram +149 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
XBP Global,3.3,1.7k,Internet,Chennai +23 other locations,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
Mother Dairy Fruit & Vegetable,4.0,1.7k,Food Processing,New Delhi +128 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
BVG India,4.2,1.7k,Facility Management Services,Pune +136 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Metro Cash & Carry,4.0,1.7k,Retail,Bengaluru +88 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Rungta Mines,4.0,1.7k,Metals & Mining,Chaibasa +57 other locations,"Work Life Balance, Salary & Benefits, Job Security",
Granules India Limited,3.8,1.7k,Pharma,Hyderabad +22 other locations,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
Indian Navy,4.6,1.7k,Defence & Aerospace,Mumbai +75 other locations,"Job Security, Skill Development / Learning, Company Culture",
Provana,3.9,1.7k,BPO,Noida +11 other locations,"Company Culture, Work Life Balance",
NEC,4.0,1.7k,IT Services & Consulting,Noida +54 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Sysnet Global Technologies,3.7,1.7k,IT Services & Consulting,New Delhi +154 other locations,"Promotions / Appraisal, Salary & Benefits",
Orange Business,4.1,1.7k,IT Services & Consulting,Gurugram +52 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Medanta the Medicity,4.0,1.7k,Healthcare,Gurugram +50 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Hitachi Astemo,4.0,1.7k,Auto Components,Neemrana +52 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Orchids International School,3.9,1.7k,Education & Training,Bengaluru +33 other locations,Skill Development / Learning,
HighRadius,2.5,1.7k,Software Product,Hyderabad +15 other locations,"Job Security, Company Culture, Work Life Balance",
TTEC India,3.7,1.7k,BPO,Ahmedabad +35 other locations,Company Culture,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Cavinkare,3.9,1.7k,FMCG,Chennai +172 other locations,"Salary & Benefits, Company Culture, Work Life Balance",
FactSet,3.7,1.7k,Analytics & KPO,Hyderabad +16 other locations,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Cushman & Wakefield,4.2,1.7k,Real Estate,Gurugram +44 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Frankfinn Institute of Air Hostess Training,3.9,1.7k,Education & Training,Gurugram +60 other locations,"Company Culture, Work Life Balance, Salary & Benefits",
Caterpillar Inc,4.1,1.7k,Industrial Machinery,Chennai +43 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
KONE,4.1,1.7k,Industrial Machinery,Chennai +73 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Yamaha Motor,4.1,1.6k,Automobile,Chennai +155 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Rane (Madras),3.9,1.6k,Auto Components,Chennai +58 other locations,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
MagicBricks,4.0,1.6k,Internet,Noida +35 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
DHL Express,4.1,1.6k,Logistics,Mumbai +90 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
BA Continuum,3.9,1.6k,IT Services & Consulting,Hyderabad +19 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
L.G.Balakrishnan & Bros,3.5,1.6k,Auto Components,Coimbatore +61 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
JSW Bhushan Power & Steel,4.0,1.6k,Iron & Steel,Jharsuguda +65 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Wipro Enterprises Ltd,3.8,1.6k,FMCG,Bengaluru +122 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Procter & Gamble,4.0,1.6k,FMCG,Mumbai +253 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
Compass Group Support Services,4.0,1.6k,Facility Management Services,Bengaluru +77 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Johnson & Johnson,4.0,1.6k,Healthcare,Mumbai +171 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Vardhman Fabrics,4.0,1.6k,Fashion & Textile,Baddi +64 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Matrimony.com,3.9,1.6k,Internet,Chennai +64 other locations,"Company Culture, Work Life Balance, Job Security",
Patanjali Foods,3.7,1.6k,FMCG,Haridwar +235 other locations,"Promotions / Appraisal, Skill Development / Learning",
CG Power and Industrial Solutions,3.8,1.6k,Electrical Equipment,Bhopal +91 other locations,Promotions / Appraisal,
Tata Play,3.9,1.6k,Broadcasting,Mumbai +222 other locations,"Company Culture, Job Security, Salary & Benefits",Promotions / Appraisal
Clover Infotech,3.4,1.6k,IT Services & Consulting,Mumbai +22 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
NielsenIQ,3.5,1.6k,Analytics & KPO,Chennai +54 other locations,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
Chegg,4.1,1.6k,EdTech,New Delhi +78 other locations,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions / Appraisal"
Arvind Group,4.0,1.6k,Fashion & Textile,Ahmedabad +91 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Hero Motors Company,3.9,1.6k,Automobile,Ghaziabad +230 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Belrise Industries,3.7,1.6k,Auto Components,Pune +58 other locations,"Promotions / Appraisal, Company Culture",
Suryoday Small Finance Bank,4.0,1.6k,Banking,Mumbai +232 other locations,"Salary & Benefits, Company Culture, Work Life Balance",
Health Care Global Enterprises,4.4,1.6k,Healthcare,Bengaluru +53 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Tata 1mg,3.5,1.6k,Internet,Gurugram +62 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Krishna Maruti,3.8,1.6k,Auto Components,Gurugram +51 other locations,Job Security,Promotions / Appraisal
ReNew,4.2,1.6k,Power,Gurugram +105 other locations,"Job Security, Company Culture, Work Life Balance",
CMA CGM,4.0,1.6k,Ports & Shipping,Chennai +37 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
American Broadcasting Company,4.0,1.6k,Engineering & Construction,Bengaluru +100 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",
Toyota Kirloskar Motor,4.3,1.6k,Automobile,Bengaluru +92 other locations,"Company Culture, Skill Development / Learning, Job Security",
HERE Technologies,3.7,1.6k,IT Services & Consulting,Mumbai +19 other locations,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Coronis Ajuba Solutions,3.9,1.6k,BPO,Chennai +31 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Marico,3.8,1.6k,FMCG,Mumbai +184 other locations,Salary & Benefits,Promotions / Appraisal
Godrej Industries Group,3.9,1.6k,Real Estate,Mumbai +149 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Dixon Technologies,3.9,1.6k,Electronics Manufacturing,Noida +46 other locations,Skill Development / Learning,
IIFL SAMASTA,3.7,1.7k,NBFC,Bengaluru +397 other locations,"Company Culture, Work Satisfaction, Promotions / Appraisal",
Welspun Living Limited,3.9,1.6k,Fashion & Textile,Anjar +86 other locations,Skill Development / Learning,Promotions / Appraisal
PharmEasy,3.7,1.6k,Internet,Bengaluru +70 other locations,"Job Security, Promotions / Appraisal, Work Satisfaction",
Satin Creditcare Network,3.9,1.6k,NBFC,Gurugram +328 other locations,"Salary & Benefits, Work Life Balance, Job Security",
Shriram Life Insurance,3.5,1.6k,Insurance,Hyderabad +326 other locations,"Promotions / Appraisal, Work Satisfaction, Job Security",
Goldman Sachs,3.3,1.6k,Financial Services,Bengaluru +23 other locations,"Work Life Balance, Job Security, Promotions / Appraisal",
Emami,3.8,1.6k,FMCG,Kolkata +173 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Wockhardt,3.8,1.6k,Pharma,Chhatrapati Sambhajinagar +84 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Honda,4.1,1.6k,Automobile,Gurugram +228 other locations,"Work Life Balance, Job Security, Company Culture",
Teva Pharmaceuticals,3.9,1.6k,Pharma,Bengaluru +52 other locations,Work Life Balance,Promotions / Appraisal
ZF Commercial Vehicle Control Systems,3.8,1.6k,Auto Components,Chennai +48 other locations,"Promotions / Appraisal, Job Security",
iOPEX Technologies,3.2,1.6k,IT Services & Consulting,Chennai +16 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Veritas Finance,4.3,1.6k,NBFC,Chennai +297 other locations,"Company Culture, Work Life Balance, Salary & Benefits",
Supreme Industries,4.1,1.6k,Petrochemicals,Gwalior +124 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Mercer,3.6,1.6k,Management Consulting,New Delhi +17 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
KFC,4.0,1.5k,Hospitality,New Delhi +173 other locations,"Skill Development / Learning, Company Culture, Job Security",
Sanofi,4.0,1.5k,Pharma,Hyderabad +92 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Urban Company,3.3,1.5k,Internet,Gurugram +60 other locations,"Job Security, Promotions / Appraisal, Work Life Balance",
Asahi India Glass,3.8,1.5k,Auto Components,Chennai +88 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Relaxo Footwear,4.0,1.5k,Fashion & Textile,New Delhi +160 other locations,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
Broadridge Financial Solutions,3.8,1.5k,FinTech,Hyderabad +14 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
IFB,3.6,1.5k,Consumer Electronics & Appliances,Bengaluru +177 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
IndiaFirst Life Insurance,3.8,1.5k,Insurance,Mumbai +246 other locations,Salary & Benefits,
Cemindia Projects,4.2,1.5k,Engineering & Construction,Kolkata +87 other locations,"Job Security, Salary & Benefits, Company Culture",
Amul India,4.0,1.5k,Food Processing,Ahmedabad +207 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Marriott International,4.1,1.5k,Hospitality,Bengaluru +90 other locations,"Job Security, Skill Development / Learning, Company Culture",
Dainik Bhaskar Group,4.1,1.5k,Printing & Publishing,Bhopal +137 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
Bajaj Capital,3.6,1.5k,Financial Services,New Delhi +173 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
Kotak Mahindra Prime,3.9,1.5k,NBFC,Mumbai +175 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Suguna Foods,3.9,1.5k,Food Processing,Coimbatore +206 other locations,Company Culture,Promotions / Appraisal
Gujarat Fluorochemicals,3.9,1.5k,Chemicals,Bharuch +32 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Nayara Energy,4.2,1.5k,Oil & Gas,Jamnagar +99 other locations,"Salary & Benefits, Work Life Balance, Job Security",Promotions / Appraisal
Bisleri,4.2,1.5k,Beverage,Mumbai +179 other locations,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Muthoot Microfin,4.2,1.5k,NBFC,Kochi +410 other locations,"Work Life Balance, Job Security, Skill Development / Learning",
HCL Infosystems,4.0,1.5k,IT Services & Consulting,Noida +105 other locations,"Work Life Balance, Job Security, Company Culture",
Tesco,3.6,1.5k,Retail,Bengaluru +17 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Lumax Industries,3.9,1.5k,Auto Components,Gurugram +41 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Hinduja Leyland Finance,4.0,1.5k,NBFC,Chennai +300 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Patra India,3.6,1.5k,BPO,Visakhapatnam +26 other locations,Job Security,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning"
SHYAM METALICS AND ENERGY,3.4,1.5k,Metals & Mining,Kolkata +75 other locations,"Promotions / Appraisal, Company Culture, Job Security",
Steel Strips Wheels,3.8,1.5k,Auto Components,Chennai +51 other locations,"Company Culture, Promotions / Appraisal, Salary & Benefits",
XL Dynamics,3.6,1.5k,IT Services & Consulting,Mumbai +32 other locations,Salary & Benefits,"Job Security, Company Culture"
Evalueserve,3.0,1.5k,Analytics & KPO,Gurugram +15 other locations,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
Oracle Cerner,3.4,1.5k,Software Product,Bengaluru +8 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Karur Vysya Bank,3.5,1.5k,Banking,Chennai +192 other locations,"Promotions / Appraisal, Work Satisfaction, Company Culture",
GMR Group,3.9,1.5k,Engineering & Construction,New Delhi +73 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Tata Consumer Products,3.5,1.5k,FMCG,Bengaluru +225 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
GE VERNOVA,4.1,1.5k,Power,Bengaluru +83 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Piramal Pharma,3.9,1.5k,Pharma,Mumbai +83 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Canara Bank,3.6,1.5k,Banking,Bengaluru +224 other locations,Job Security,"Company Culture, Work Life Balance, Work Satisfaction"
SAI Life Sciences,3.9,1.5k,Clinical Research,Hyderabad +26 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",Promotions / Appraisal
Max Fashion,4.0,1.5k,Retail,Bengaluru +153 other locations,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Ashoka Buildcon,4.1,1.5k,Engineering & Construction,Nashik +155 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Page Industries,4.1,1.5k,Fashion & Textile,Bengaluru +165 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Tanishq,4.1,1.5k,Jewellery,Kolkata +237 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
QualityKiosk Technologies,3.2,1.5k,IT Services & Consulting,Mumbai +20 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Honeywell Technology Solutions,3.7,1.5k,Industrial Automation,Bengaluru +18 other locations,"Promotions / Appraisal, Work Satisfaction",
Wheelseye Technology,3.4,1.5k,Internet,Gurugram +225 other locations,"Job Security, Promotions / Appraisal, Company Culture",
Tata AutoComp Systems,3.8,1.5k,Auto Components,Pune +44 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Sonata Software,3.4,1.5k,IT Services & Consulting,Bengaluru +16 other locations,"Promotions / Appraisal, Job Security, Salary & Benefits",
Gland Pharma,4.0,1.5k,Pharma,Hyderabad +35 other locations,"Work Life Balance, Job Security, Work Satisfaction",
Taurus BPO Services,4.1,1.5k,BPO,Pune +23 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Tata Group,4.2,1.4k,IT Services & Consulting,Mumbai +170 other locations,"Company Culture, Work Life Balance, Job Security",
ISS Facility Services,4.0,1.4k,Facility Management Services,Mumbai +66 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Devyani International,3.8,1.4k,Hospitality,New Delhi +136 other locations,Skill Development / Learning,Promotions / Appraisal
Airtel Payments Bank,3.8,1.4k,Banking,Gurugram +333 other locations,Promotions / Appraisal,
Oberoi Group of Hotels,4.0,1.4k,Hospitality,New Delhi +38 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Daimler India Commercial Vehicles,3.9,1.4k,Automobile,Chennai +48 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Indoco Remedies,3.5,1.4k,Pharma,Mumbai +83 other locations,"Job Security, Promotions / Appraisal, Company Culture",
Valeo,3.9,1.4k,Auto Components,Chennai +23 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Aon,3.8,1.4k,Management Consulting,Bengaluru +25 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
V5 Global Services,3.9,1.4k,Recruitment,New Delhi +216 other locations,Work Life Balance,Promotions / Appraisal
Acuity Analytics,3.2,1.4k,Analytics & KPO,Bengaluru +16 other locations,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
NIIT,3.5,1.4k,Education & Training,Gurugram +102 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Apco Infratech,3.7,1.4k,Engineering & Construction,Lucknow +95 other locations,"Job Security, Company Culture, Promotions / Appraisal",
Narayana Educational Society,3.5,1.4k,Education & Training,Hyderabad +144 other locations,"Promotions / Appraisal, Company Culture, Work Life Balance",
Heritage Foods,4.0,1.4k,Food Processing,Hyderabad +125 other locations,"Company Culture, Work Life Balance, Job Security",
Bharat Forge,3.7,1.4k,Auto Components,Pune +28 other locations,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Amneal Pharmaceuticals,4.2,1.4k,Pharma,Ahmedabad +44 other locations,"Work Life Balance, Job Security, Company Culture",
Hyatt Regency,4.0,1.4k,Hospitality,New Delhi +50 other locations,"Job Security, Skill Development / Learning, Company Culture",
Chandigarh University,4.2,1.4k,Education & Training,Chandigarh +48 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Labmentix,4.5,1.4k,Bengaluru +32 other locations,,"Work Life Balance, Skill Development / Learning, Company Culture",
Acmegrade,3.9,1.4k,EdTech,Bengaluru +21 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",
Apexon,3.3,1.4k,IT Services & Consulting,Bengaluru +21 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
SBFC Finance,3.8,1.4k,NBFC,Mumbai +218 other locations,Salary & Benefits,
Happiest Minds Technologies,3.4,1.4k,IT Services & Consulting,Bengaluru +17 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
PNB Housing Finance,3.8,1.4k,NBFC,New Delhi +168 other locations,Promotions / Appraisal,
Agilus Diagnostics,4.1,1.4k,Healthcare,Mumbai +136 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Sony,4.1,1.4k,Consumer Electronics & Appliances,New Delhi +145 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,1.4k,Auto Components,Pune +47 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Morningstar,3.7,1.4k,Financial Services,Mumbai +18 other locations,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Jaquar,4.1,1.4k,Building Material,Gurugram +114 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Altimetrik,3.5,1.4k,IT Services & Consulting,Bengaluru +14 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal, Work Satisfaction"
Tieto,4.1,1.4k,IT Services & Consulting,Pune +14 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
AB InBev India,3.3,1.4k,Beverage,Bengaluru +77 other locations,"Promotions / Appraisal, Job Security, Work Satisfaction",
Aumovio,3.8,1.4k,Auto Components,Bengaluru +21 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Amara Raja Energy & Mobility,4.0,1.4k,Auto Components,Tirupati +94 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
IDC Technologies,3.1,1.4k,IT Services & Consulting,Noida +66 other locations,"Job Security, Promotions / Appraisal, Company Culture",
Indegene,3.3,1.4k,Analytics & KPO,Bengaluru +32 other locations,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
Slk Software Services,3.2,1.4k,IT Services & Consulting,Bengaluru +15 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
J. Kumar Infraprojects,4.1,1.4k,Engineering & Construction,Mumbai +41 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
TCS iON,3.8,1.4k,IT Services & Consulting,Chennai +115 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
The Muthoot Group,3.6,1.4k,Financial Services,New Delhi +310 other locations,"Promotions / Appraisal, Company Culture, Work Life Balance",
Adobe,3.7,1.4k,Software Product,Bengaluru +22 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Work Satisfaction"
mPokket,4.4,1.4k,NBFC,Kolkata +21 other locations,"Company Culture, Job Security, Skill Development / Learning",
Xiaomi,3.8,1.4k,Consumer Electronics & Appliances,Bengaluru +213 other locations,"Promotions / Appraisal, Job Security",
VLCC,3.3,1.4k,Beauty & Personal Care,New Delhi +112 other locations,"Promotions / Appraisal, Company Culture, Work Life Balance",
Vfs Global Services,3.4,1.4k,IT Services & Consulting,Mumbai +32 other locations,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Nykaa,3.5,1.4k,Internet,Mumbai +117 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
DCM Shriram,4.1,1.4k,Chemicals,Bharuch +107 other locations,"Job Security, Company Culture, Work Life Balance",
Infogain,3.5,1.4k,Emerging Technologies,Bengaluru +23 other locations,"Promotions / Appraisal, Job Security, Salary & Benefits",
Unisys,3.5,1.4k,IT Services & Consulting,Bengaluru +18 other locations,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
Sansera Engineering,4.0,1.4k,Auto Components,Bengaluru +28 other locations,"Skill Development / Learning, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
FedEx Express,4.0,1.4k,Logistics,Mumbai +94 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
AtkinsRealis,3.7,1.4k,Engineering & Construction,Bengaluru +54 other locations,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Kantar,3.5,1.4k,Analytics & KPO,Bengaluru +44 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
VOIS,3.8,1.4k,IT Services & Consulting,Pune +21 other locations,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning"
Chetu,3.6,1.4k,Software Product,Noida +14 other locations,Skill Development / Learning,"Job Security, Company Culture, Work Life Balance"
MedPlus,3.6,1.4k,Retail,Hyderabad +141 other locations,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Oracle Financial Services Software,3.4,1.4k,Software Product,Bengaluru +22 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Eaton,4.0,1.4k,Electronics Manufacturing,Pune +22 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
EOSGlobe,2.9,1.4k,BPO,Mumbai +29 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Worley,4.1,1.4k,Engineering & Construction,Mumbai +56 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Sharekhan,3.7,1.4k,Financial Services,Mumbai +114 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Fino Payments Bank,3.8,1.4k,Banking,Mumbai +271 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Faurecia,3.9,1.4k,Auto Components,Pune +28 other locations,"Company Culture, Skill Development / Learning",Promotions / Appraisal
Paytm Payments Bank,3.8,1.4k,Banking,Noida +137 other locations,Work Life Balance,"Job Security, Promotions / Appraisal"
Aforeserve,3.4,1.4k,IT Services & Consulting,Mumbai +158 other locations,"Promotions / Appraisal, Salary & Benefits, Job Security",
Aerial Telecom Solutions,4.2,1.4k,Telecom,Sahibzada Ajit Singh Nagar +111 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Bajaj Housing Finance,3.6,1.4k,NBFC,Pune +169 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Sheenlac Paints,4.2,1.4k,Chemicals,Chennai +162 other locations,"Salary & Benefits, Company Culture, Work Life Balance",
Amity University,3.6,1.4k,Education & Training,Noida +86 other locations,Job Security,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
City Union Bank,3.0,1.4k,Banking,Chennai +194 other locations,"Promotions / Appraisal, Company Culture, Work Life Balance",
TÜV SÜD,4.0,1.3k,"Testing, Inspection and Certification (TIC)",Bengaluru +128 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Rashmi Metaliks,3.2,1.3k,Iron & Steel,Kharagpur +42 other locations,"Company Culture, Job Security, Promotions / Appraisal",
TEKsystems,3.2,1.3k,IT Services & Consulting,Bengaluru +18 other locations,"Promotions / Appraisal, Job Security, Skill Development / Learning",
iMerit,3.2,1.3k,IT Services & Consulting,Kolkata +22 other locations,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Novo Nordisk,3.6,1.3k,Pharma,Bengaluru +73 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction"
JioMart,3.9,1.3k,Retail,Mumbai +297 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
